dataset,minsup,algorithm,run_type,run_id,campaign_id,group,status,patterns,mining_s,wall_s,external_mem_mb,log_path
D150C20T20N2.5S6I4,30%,ClaSP,measured,3,20260402_143133,D150C20T20N2.5S6I4_0.3_group,OK,322,510.39,510.39,14920.288558959961,logs_scalability_D/ClaSP_D150C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D150C20T20N2.5S6I4,30%,ClaSP,measured,2,20260402_143133,D150C20T20N2.5S6I4_0.3_group,OK,322,491.872,491.872,14704.438346862793,logs_scalability_D/ClaSP_D150C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D150C20T20N2.5S6I4,30%,ClaSP,measured,1,20260402_143133,D150C20T20N2.5S6I4_0.3_group,OK,322,498.632,498.632,7222.9187088012695,logs_scalability_D/ClaSP_D150C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D100C20T20N2.5S6I4,30%,CloSpan,warmup,1,20260402_143133,D100C20T20N2.5S6I4_0.3_group,OK,322,121.23,121.23,12268.673973083496,logs_scalability_D/CloSpan_D100C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D100C20T20N2.5S6I4,30%,CloSpan,measured,3,20260402_143133,D100C20T20N2.5S6I4_0.3_group,OK,322,116.133,116.133,12970.036994934082,logs_scalability_D/CloSpan_D100C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D100C20T20N2.5S6I4,30%,CloSpan,measured,2,20260402_143133,D100C20T20N2.5S6I4_0.3_group,OK,322,119.073,119.073,10183.519844055176,logs_scalability_D/CloSpan_D100C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D100C20T20N2.5S6I4,30%,CloSpan,measured,1,20260402_143133,D100C20T20N2.5S6I4_0.3_group,OK,322,123.083,123.083,1248.374610900879,logs_scalability_D/CloSpan_D100C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D100C20T20N2.5S6I4,30%,ClaSP,warmup,1,20260402_143133,D100C20T20N2.5S6I4_0.3_group,OK,322,307.468,307.468,7193.139434814453,logs_scalability_D/ClaSP_D100C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D100C20T20N2.5S6I4,30%,ClaSP,measured,3,20260402_143133,D100C20T20N2.5S6I4_0.3_group,OK,322,307.013,307.013,10663.693382263184,logs_scalability_D/ClaSP_D100C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D100C20T20N2.5S6I4,30%,ClaSP,measured,2,20260402_143133,D100C20T20N2.5S6I4_0.3_group,OK,322,309.394,309.394,6153.037467956543,logs_scalability_D/ClaSP_D100C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D100C20T20N2.5S6I4,30%,ClaSP,measured,1,20260402_143133,D100C20T20N2.5S6I4_0.3_group,OK,322,308.506,308.506,9843.715789794922,logs_scalability_D/ClaSP_D100C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D50C20T20N2.5S8I6,30%,TriBack-Clo,warmup,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,24.038,24.038,475.49205780029297,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S8I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S8I6,30%,TriBack-Clo,measured,3,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,22.112,22.112,476.11942291259766,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S8I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S8I6,30%,TriBack-Clo,measured,2,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,23.746,23.746,474.22066497802734,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S8I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S8I6,30%,TriBack-Clo,measured,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,22.125,22.125,474.6470184326172,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S8I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S8I6,30%,CloSpan,warmup,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,54.433,54.433,676.7994003295898,logs_fig15/CloSpan_D50C20T20N2.5S8I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S8I6,30%,CloSpan,measured,3,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,55.455,55.455,9778.862823486328,logs_fig15/CloSpan_D50C20T20N2.5S8I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S8I6,30%,CloSpan,measured,2,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,54.967,54.967,8821.841743469238,logs_fig15/CloSpan_D50C20T20N2.5S8I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S8I6,30%,CloSpan,measured,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,55.246,55.246,9178.746353149414,logs_fig15/CloSpan_D50C20T20N2.5S8I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S8I6,30%,CloFast,warmup,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,,,3380.4337158203125,logs_fig15/CloFast_D50C20T20N2.5S8I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S8I6,30%,CloFast,measured,3,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,,,18199.27223968506,logs_fig15/CloFast_D50C20T20N2.5S8I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S8I6,30%,CloFast,measured,2,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,,,17041.32787322998,logs_fig15/CloFast_D50C20T20N2.5S8I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S8I6,30%,CloFast,measured,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,,,9203.862731933594,logs_fig15/CloFast_D50C20T20N2.5S8I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S8I6,30%,ClaSP,warmup,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,138.026,138.026,23012.629852294922,logs_fig15/ClaSP_D50C20T20N2.5S8I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S8I6,30%,ClaSP,measured,3,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,137.155,137.155,23267.36011505127,logs_fig15/ClaSP_D50C20T20N2.5S8I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S8I6,30%,ClaSP,measured,2,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,136.588,136.588,9754.418571472168,logs_fig15/ClaSP_D50C20T20N2.5S8I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S8I6,30%,ClaSP,measured,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,135.517,135.517,15457.070121765137,logs_fig15/ClaSP_D50C20T20N2.5S8I6_0.3_run1_20260129_132539.log
