campaign_id,dataset,minsup,algorithm,group,n_measured,n_ok,status_summary,patterns,count_consistent,output_equivalent,comparison_eligible,wall_min_s,wall_median_s,wall_max_s,wall_range_pct,mem_min_mb,mem_median_mb,mem_max_mb,mem_range_pct
20260110_133905,BMS2,0.5%,CloSpan,BMS2_0.005_group,3,3,3/3 OK,408,True,True,True,3.24,3.28,3.31,2.13414634146341,1188.0390625,1188.2265625,1189.73828125,0.14300460902211148
20260111_231217,BMS2,0.5%,TriBack-Clo,BMS2_0.005_group,3,3,3/3 OK,408,True,True,True,0.39,0.39,0.41,5.128205128205118,325.53515625,330.1640625,330.97265625,1.6469084971959962
20260110_133905,BMS2,1%,BIDE+,BMS2_0.01_group,3,3,3/3 OK,81,True,True,True,0.51,0.51,0.52,1.960784313725492,276.10546875,279.80078125,281.78515625,2.0299040891259126
20260110_133905,BMS2,1%,ClaSP,BMS2_0.01_group,3,3,3/3 OK,81,True,True,True,1.5,1.51,1.52,1.3245033112582794,741.22265625,741.30078125,746.375,0.6950409173064662
20260119_105918,BMS2,1%,CloFast,BMS2_0.01_group,3,3,3/3 OK,81,True,True,True,28.09,28.4,30.62,8.908450704225357,23811.23828125,24272.984375,24526.69921875,2.9475606561049417
20260110_133905,BMS2,1%,CloSpan,BMS2_0.01_group,3,3,3/3 OK,81,True,True,True,1.11,1.15,1.16,4.347826086956506,700.21875,732.38671875,734.44921875,4.673824343568491
20260111_231217,BMS2,1%,TriBack-Clo,BMS2_0.01_group,3,3,3/3 OK,81,True,True,True,0.34,0.34,0.35,2.9411764705882213,321.984375,327.265625,327.2734375,1.6161375029840057
20260110_133905,BMS2,10%,BIDE+,BMS2_0.1_group,3,3,3/3 OK,0,False,False,False,0.44,0.44,0.44,0.0,244.55078125,244.859375,247.99609375,1.4070576223597728
20260110_133905,BMS2,10%,ClaSP,BMS2_0.1_group,3,3,3/3 OK,0,False,False,False,1.21,1.22,1.24,2.4590163934426252,560.93359375,562.1484375,563.33984375,0.4280453060940866
20260119_105918,BMS2,10%,CloFast,BMS2_0.1_group,3,3,3/3 OK,0,False,False,False,25.9,26.35,26.36,1.745730550284633,23903.34765625,23954.328125,24185.171875,1.1765064637979696
20260110_133905,BMS2,10%,CloSpan,BMS2_0.1_group,3,3,3/3 OK,0,False,False,False,0.55,0.56,0.58,5.357142857142842,411.75,412.125,413.50390625,0.42557628146800125
20260111_231217,BMS2,10%,TriBack-Clo,BMS2_0.1_group,3,3,3/3 OK,0,False,False,False,0.31,0.31,0.32,3.2258064516129057,318.9609375,321.61328125,323.46484375,1.400410527977846
20260110_133905,BMS2,2%,BIDE+,BMS2_0.02_group,3,3,3/3 OK,13,True,True,True,0.46,0.46,0.47,2.1739130434782505,247.69140625,251.58203125,251.98828125,1.7079419299743808
20260110_133905,BMS2,2%,ClaSP,BMS2_0.02_group,3,3,3/3 OK,13,True,True,True,1.2,1.22,1.22,1.6393442622950833,577.5703125,578.26953125,583.54296875,1.0328498956341996
20260119_105918,BMS2,2%,CloFast,BMS2_0.02_group,3,3,3/3 OK,13,True,True,True,26.22,26.55,31.73,20.753295668549914,22527.1015625,24345.1015625,24652.43359375,8.730019161323842
20260110_133905,BMS2,2%,CloSpan,BMS2_0.02_group,3,3,3/3 OK,13,True,True,True,0.64,0.64,0.64,0.0,478.515625,479.1796875,479.2890625,0.16140865737344093
20260111_231217,BMS2,2%,TriBack-Clo,BMS2_0.02_group,3,3,3/3 OK,13,True,True,True,0.32,0.32,0.32,0.0,322.53125,323.16796875,325.96484375,1.0624796025673569
20260110_133905,BMS2,20%,BIDE+,BMS2_0.2_group,3,3,3/3 OK,0,False,False,False,0.44,0.44,0.45,2.2727272727272747,243.6953125,247.953125,248.20703125,1.8195853550948389
20260110_133905,BMS2,20%,ClaSP,BMS2_0.2_group,3,3,3/3 OK,0,False,False,False,1.15,1.22,1.23,6.557377049180333,557.16015625,564.21875,566.01953125,1.5702021600664635
20260119_105918,BMS2,20%,CloFast,BMS2_0.2_group,3,3,3/3 OK,0,False,False,False,26.41,26.8,26.84,1.6044776119402975,24036.09375,24188.21875,25234.18359375,4.953195835265877
20260110_133905,BMS2,20%,CloSpan,BMS2_0.2_group,3,3,3/3 OK,0,False,False,False,0.55,0.56,0.57,3.5714285714285547,415.57421875,416.46875,419.296875,0.8938620844901327
20260111_231217,BMS2,20%,TriBack-Clo,BMS2_0.2_group,3,3,3/3 OK,0,False,False,False,0.31,0.31,0.31,0.0,318.26953125,318.77734375,323.4609375,1.6285367676792433
20260110_133905,BMS2,5%,BIDE+,BMS2_0.05_group,3,3,3/3 OK,0,False,False,False,0.44,0.45,0.45,2.222222222222224,243.41015625,248.07421875,253.07421875,3.895633552206843
20260110_133905,BMS2,5%,ClaSP,BMS2_0.05_group,3,3,3/3 OK,0,False,False,False,1.22,1.24,1.25,2.4193548387096793,555.68359375,559.20703125,559.93359375,0.7600047500296877
20260119_105918,BMS2,5%,CloFast,BMS2_0.05_group,3,3,3/3 OK,0,False,False,False,26.42,26.63,26.65,0.8636875704093012,23809.0703125,23907.73828125,24071.53125,1.0978074730968546
20260110_133905,BMS2,5%,CloSpan,BMS2_0.05_group,3,3,3/3 OK,0,False,False,False,0.55,0.55,0.55,0.0,412.484375,414.765625,415.109375,0.6328875494443398
20260111_231217,BMS2,5%,TriBack-Clo,BMS2_0.05_group,3,3,3/3 OK,0,False,False,False,0.3,0.31,0.32,6.451612903225811,316.52734375,319.8671875,324.46484375,2.481498668881127
20260127_223449,D100C20T20N2.5S6I4,30%,BIDE+,D100C20T20N2.5S6I4_0.3_group,3,3,3/3 OK,322,True,True,True,72.98,73.676,73.777,1.081763396492748,13866.327842712402,14498.299896240234,15065.092094421387,8.268309114090359
20260402_143133,D100C20T20N2.5S6I4,30%,ClaSP,D100C20T20N2.5S6I4_0.3_group,3,3,3/3 OK,322,True,True,True,307.013,308.506,309.394,0.7717840171666123,6153.037467956543,9843.715789794922,10663.693382263184,45.82269552096255
20260127_223449,D100C20T20N2.5S6I4,30%,CloFast,D100C20T20N2.5S6I4_0.3_group,3,3,3/3 OK,0,False,True,False,,,,,,,,
20260402_143133,D100C20T20N2.5S6I4,30%,CloSpan,D100C20T20N2.5S6I4_0.3_group,3,3,3/3 OK,322,True,True,True,116.133,119.073,123.083,5.836755603705292,1248.374610900879,10183.519844055176,12970.036994934082,115.10423275578874
20260127_223449,D100C20T20N2.5S6I4,30%,TriBack-Clo,D100C20T20N2.5S6I4_0.3_group,3,3,3/3 OK,322,True,True,True,63.414,63.545,64.433,1.6035880084979235,828.2157211303711,829.192024230957,1051.6268005371094,26.94322580031366
20260127_184657,D100C20T20N2.5S6I4,40%,BIDE+,D100C20T20N2.5S6I4_0.4_group,3,3,3/3 OK,111,True,True,True,19.216,19.231,19.307,0.4731943216681271,14006.651550292969,14060.085166931152,15168.093566894531,8.260561744912009
20260127_184657,D100C20T20N2.5S6I4,40%,CloFast,D100C20T20N2.5S6I4_0.4_group,2,2,2/2 OK,0,False,True,False,,,,,,,,
